date,description,category,amount,type,account,payment_method
10/17/2023,Freelance Project Payment,Freelance,404,income,ICICI Savings,UPI
8/17/2022,House Rent,Rent,16679,expense,HDFC Savings,NetBanking
3/9/2023,Monthly Salary Credit,Salary,60976,income,HDFC Savings,UPI
8/27/2022,Broadband Bill,Internet,5131,expense,HDFC Savings,NetBanking
7/23/2022,Travel Booking,Travel,5523,expense,ICICI Savings,UPI
4/5/2023,Insurance Premium,Insurance,2478,expense,HDFC Savings,UPI
12/16/2023,Online Shopping,Shopping,2987,expense,ICICI Savings,UPI
8/9/2022,SIP Investment,Mutual Fund,8514,expense,HDFC Savings,UPI
1/25/2023,Freelance Project Payment,Freelance,3140,income,ICICI Savings,NetBanking
9/28/2022,SIP Investment,Mutual Fund,3711,expense,ICICI Savings,NetBanking
5/8/2022,Online Shopping,Shopping,845,expense,ICICI Savings,NetBanking
9/26/2023,Equity Purchase,Stocks,8925,expense,HDFC Savings,NetBanking
3/13/2022,Monthly Salary Credit,Salary,81668,income,HDFC Savings,Card
3/23/2022,Equity Purchase,Stocks,6814,expense,HDFC Savings,Card
10/12/2022,Electricity Bill,Electricity,5407,expense,ICICI Savings,UPI
1/15/2023,Fuel Station,Fuel,1916,expense,ICICI Savings,NetBanking
12/1/2023,Medical Expense,Medical,784,expense,HDFC Savings,NetBanking
1/17/2024,Supermarket Purchase,Groceries,1538,expense,ICICI Savings,Card
10/4/2022,Medical Expense,Medical,5837,expense,HDFC Savings,NetBanking
11/29/2022,Equity Purchase,Stocks,3916,expense,HDFC Savings,UPI
4/4/2024,Fuel Station,Fuel,3486,expense,ICICI Savings,UPI
8/5/2022,Insurance Premium,Insurance,7379,expense,ICICI Savings,UPI
11/3/2023,Electricity Bill,Electricity,3441,expense,ICICI Savings,UPI
9/29/2022,House Rent,Rent,19040,expense,ICICI Savings,NetBanking
8/22/2023,Online Shopping,Shopping,7554,expense,ICICI Savings,Card
8/13/2022,House Rent,Rent,23348,expense,ICICI Savings,UPI
2/13/2024,Monthly Salary Credit,Salary,88216,income,HDFC Savings,UPI
10/5/2023,House Rent,Rent,21916,expense,HDFC Savings,Card
1/26/2023,Insurance Premium,Insurance,4034,expense,ICICI Savings,NetBanking
5/31/2024,Monthly Salary Credit,Salary,82291,income,HDFC Savings,NetBanking
7/4/2023,SIP Investment,Mutual Fund,7371,expense,ICICI Savings,UPI
10/28/2022,Online Shopping,Shopping,1495,expense,ICICI Savings,UPI
1/10/2024,Travel Booking,Travel,2357,expense,HDFC Savings,NetBanking
4/19/2022,Equity Purchase,Stocks,13244,expense,ICICI Savings,NetBanking
6/4/2023,Insurance Premium,Insurance,1829,expense,HDFC Savings,Card
2/20/2024,House Rent,Rent,23837,expense,HDFC Savings,NetBanking
11/28/2022,Electricity Bill,Electricity,359,expense,HDFC Savings,Card
6/18/2024,Equity Purchase,Stocks,8038,expense,HDFC Savings,UPI
9/4/2022,Insurance Premium,Insurance,7957,expense,HDFC Savings,UPI
1/20/2024,Electricity Bill,Electricity,6884,expense,HDFC Savings,NetBanking
2/24/2024,House Rent,Rent,17103,expense,ICICI Savings,NetBanking
6/19/2022,Restaurant Payment,Dining,4522,expense,ICICI Savings,UPI
7/7/2023,SIP Investment,Mutual Fund,14959,expense,HDFC Savings,NetBanking
11/16/2022,Online Shopping,Shopping,5702,expense,ICICI Savings,Card
6/14/2023,Electricity Bill,Electricity,1191,expense,HDFC Savings,UPI
3/7/2022,Fuel Station,Fuel,372,expense,HDFC Savings,NetBanking
8/14/2022,Monthly Salary Credit,Salary,62326,income,HDFC Savings,UPI
3/11/2022,Monthly Salary Credit,Salary,88168,income,ICICI Savings,UPI
6/11/2023,Supermarket Purchase,Groceries,2481,expense,ICICI Savings,UPI
7/7/2023,House Rent,Rent,24355,expense,ICICI Savings,UPI
3/14/2024,Electricity Bill,Electricity,6815,expense,ICICI Savings,UPI
4/7/2022,Freelance Project Payment,Freelance,5598,income,ICICI Savings,Card
3/10/2023,Online Shopping,Shopping,4025,expense,HDFC Savings,NetBanking
11/1/2023,Medical Expense,Medical,1006,expense,HDFC Savings,Card
1/16/2024,Fuel Station,Fuel,6758,expense,HDFC Savings,UPI
7/16/2022,Supermarket Purchase,Groceries,4593,expense,ICICI Savings,UPI
3/9/2023,House Rent,Rent,19563,expense,ICICI Savings,UPI
6/14/2024,Freelance Project Payment,Freelance,3830,income,HDFC Savings,UPI
10/30/2023,Broadband Bill,Internet,7048,expense,HDFC Savings,UPI
2/11/2024,Equity Purchase,Stocks,6872,expense,HDFC Savings,Card
5/13/2023,Electricity Bill,Electricity,1951,expense,ICICI Savings,UPI
6/18/2022,Online Shopping,Shopping,217,expense,ICICI Savings,Card
3/13/2024,SIP Investment,Mutual Fund,10454,expense,ICICI Savings,Card
12/15/2023,Travel Booking,Travel,6617,expense,ICICI Savings,UPI
7/14/2022,Restaurant Payment,Dining,1983,expense,HDFC Savings,NetBanking
1/24/2024,Broadband Bill,Internet,699,expense,ICICI Savings,UPI
2/21/2022,Insurance Premium,Insurance,4105,expense,HDFC Savings,UPI
6/5/2023,Freelance Project Payment,Freelance,7174,income,HDFC Savings,UPI
9/2/2023,Freelance Project Payment,Freelance,5731,income,HDFC Savings,Card
5/3/2022,Insurance Premium,Insurance,2216,expense,HDFC Savings,NetBanking
3/25/2022,Online Shopping,Shopping,5585,expense,ICICI Savings,Card
7/29/2022,Medical Expense,Medical,6067,expense,ICICI Savings,UPI
9/29/2022,Online Shopping,Shopping,1272,expense,ICICI Savings,Card
11/20/2022,SIP Investment,Mutual Fund,4188,expense,HDFC Savings,Card
9/29/2023,Insurance Premium,Insurance,1019,expense,HDFC Savings,NetBanking
8/7/2022,Broadband Bill,Internet,2372,expense,HDFC Savings,Card
3/12/2022,Supermarket Purchase,Groceries,3227,expense,ICICI Savings,UPI
3/25/2023,Equity Purchase,Stocks,11900,expense,ICICI Savings,NetBanking
4/6/2024,Medical Expense,Medical,4533,expense,HDFC Savings,NetBanking
4/16/2024,Broadband Bill,Internet,2652,expense,HDFC Savings,UPI
9/28/2022,Freelance Project Payment,Freelance,7488,income,HDFC Savings,NetBanking
7/21/2023,House Rent,Rent,19462,expense,ICICI Savings,NetBanking
8/4/2022,Travel Booking,Travel,3008,expense,HDFC Savings,NetBanking
10/12/2023,Equity Purchase,Stocks,7325,expense,ICICI Savings,Card
5/16/2024,Monthly Salary Credit,Salary,63024,income,ICICI Savings,Card
2/15/2022,Monthly Salary Credit,Salary,70929,income,HDFC Savings,NetBanking
9/26/2022,House Rent,Rent,22239,expense,ICICI Savings,NetBanking
1/10/2022,Freelance Project Payment,Freelance,816,income,HDFC Savings,NetBanking
2/6/2022,Equity Purchase,Stocks,9049,expense,HDFC Savings,Card
5/11/2022,Monthly Salary Credit,Salary,70101,income,ICICI Savings,UPI
1/2/2023,Supermarket Purchase,Groceries,5787,expense,HDFC Savings,NetBanking
4/16/2022,Fuel Station,Fuel,6590,expense,ICICI Savings,NetBanking
2/7/2024,House Rent,Rent,18878,expense,HDFC Savings,UPI
2/27/2023,Monthly Salary Credit,Salary,65877,income,ICICI Savings,Card
4/1/2024,Medical Expense,Medical,7278,expense,HDFC Savings,Card
6/13/2022,SIP Investment,Mutual Fund,14489,expense,HDFC Savings,Card
6/12/2024,Monthly Salary Credit,Salary,88134,income,ICICI Savings,UPI
7/24/2022,Equity Purchase,Stocks,10541,expense,ICICI Savings,Card
4/20/2024,SIP Investment,Mutual Fund,6728,expense,HDFC Savings,UPI
11/7/2023,Supermarket Purchase,Groceries,3464,expense,ICICI Savings,Card
6/4/2024,Freelance Project Payment,Freelance,6535,income,ICICI Savings,Card
10/19/2023,Broadband Bill,Internet,3474,expense,ICICI Savings,UPI
4/29/2022,Restaurant Payment,Dining,1662,expense,ICICI Savings,UPI
4/22/2022,Insurance Premium,Insurance,3759,expense,ICICI Savings,NetBanking
3/16/2024,Fuel Station,Fuel,3774,expense,HDFC Savings,Card
8/14/2023,Supermarket Purchase,Groceries,2286,expense,HDFC Savings,NetBanking
3/23/2023,Monthly Salary Credit,Salary,77036,income,HDFC Savings,Card
3/18/2023,Freelance Project Payment,Freelance,7973,income,ICICI Savings,NetBanking
11/18/2022,Medical Expense,Medical,7146,expense,HDFC Savings,NetBanking
11/4/2022,Broadband Bill,Internet,2733,expense,ICICI Savings,Card
2/17/2023,Travel Booking,Travel,2622,expense,HDFC Savings,UPI
3/7/2023,Medical Expense,Medical,7903,expense,ICICI Savings,NetBanking
2/6/2024,House Rent,Rent,24324,expense,ICICI Savings,Card
7/16/2023,Equity Purchase,Stocks,3006,expense,ICICI Savings,Card
8/4/2022,Online Shopping,Shopping,6636,expense,ICICI Savings,Card
3/29/2023,Electricity Bill,Electricity,5734,expense,HDFC Savings,NetBanking
4/30/2023,SIP Investment,Mutual Fund,5780,expense,HDFC Savings,Card
6/12/2023,Medical Expense,Medical,5385,expense,ICICI Savings,UPI
4/18/2024,SIP Investment,Mutual Fund,6848,expense,ICICI Savings,UPI
4/5/2024,Supermarket Purchase,Groceries,1407,expense,HDFC Savings,UPI
9/8/2022,Electricity Bill,Electricity,5207,expense,HDFC Savings,Card
3/1/2023,Medical Expense,Medical,4915,expense,HDFC Savings,NetBanking
12/15/2023,Online Shopping,Shopping,4249,expense,ICICI Savings,UPI
6/1/2022,Medical Expense,Medical,5833,expense,HDFC Savings,UPI
3/8/2024,Online Shopping,Shopping,1992,expense,HDFC Savings,NetBanking
6/15/2023,Electricity Bill,Electricity,611,expense,HDFC Savings,UPI
4/13/2023,House Rent,Rent,22612,expense,ICICI Savings,Card
9/20/2023,Equity Purchase,Stocks,14784,expense,ICICI Savings,NetBanking
4/2/2023,House Rent,Rent,22777,expense,ICICI Savings,Card
2/9/2024,Supermarket Purchase,Groceries,7080,expense,ICICI Savings,NetBanking
5/12/2023,Medical Expense,Medical,2159,expense,ICICI Savings,Card
3/21/2022,Travel Booking,Travel,2540,expense,HDFC Savings,Card
12/10/2022,Fuel Station,Fuel,7515,expense,HDFC Savings,UPI
6/4/2022,Supermarket Purchase,Groceries,3337,expense,HDFC Savings,NetBanking
8/8/2022,Freelance Project Payment,Freelance,3598,income,ICICI Savings,Card
7/10/2023,Electricity Bill,Electricity,3606,expense,HDFC Savings,UPI
5/2/2024,Online Shopping,Shopping,3390,expense,HDFC Savings,NetBanking
1/25/2023,Electricity Bill,Electricity,248,expense,ICICI Savings,Card
2/11/2024,Online Shopping,Shopping,7191,expense,ICICI Savings,NetBanking
2/5/2024,Travel Booking,Travel,4673,expense,HDFC Savings,Card
8/13/2022,Restaurant Payment,Dining,3770,expense,ICICI Savings,UPI
2/3/2023,Fuel Station,Fuel,5679,expense,ICICI Savings,NetBanking
6/19/2022,Equity Purchase,Stocks,10657,expense,HDFC Savings,NetBanking
7/1/2023,Monthly Salary Credit,Salary,89718,income,ICICI Savings,NetBanking
8/1/2023,Medical Expense,Medical,422,expense,HDFC Savings,NetBanking
3/15/2023,House Rent,Rent,22564,expense,HDFC Savings,UPI
9/24/2022,Online Shopping,Shopping,2881,expense,HDFC Savings,Card
12/1/2022,Fuel Station,Fuel,6435,expense,ICICI Savings,Card
2/10/2024,Equity Purchase,Stocks,9906,expense,ICICI Savings,UPI
4/27/2023,Monthly Salary Credit,Salary,84544,income,HDFC Savings,Card
8/18/2022,Medical Expense,Medical,762,expense,HDFC Savings,UPI
9/11/2022,Supermarket Purchase,Groceries,7074,expense,HDFC Savings,NetBanking
6/6/2022,Supermarket Purchase,Groceries,1234,expense,ICICI Savings,NetBanking
4/28/2022,Insurance Premium,Insurance,7964,expense,HDFC Savings,Card
12/18/2023,Restaurant Payment,Dining,6482,expense,ICICI Savings,UPI
9/13/2023,Insurance Premium,Insurance,6327,expense,HDFC Savings,UPI
11/15/2022,Freelance Project Payment,Freelance,4940,income,HDFC Savings,Card
8/13/2023,Medical Expense,Medical,7638,expense,ICICI Savings,Card
1/3/2024,Supermarket Purchase,Groceries,822,expense,HDFC Savings,UPI
12/15/2023,SIP Investment,Mutual Fund,7941,expense,HDFC Savings,NetBanking
